"geo_accession"	"tissue"	"title"	"status"	"submission_date"	"last_update_date"	"type"	"channel_count"	"source_name_ch1"	"organism_ch1"	"characteristics_ch1"	"molecule_ch1"	"extract_protocol_ch1"	"label_ch1"	"label_protocol_ch1"	"taxid_ch1"	"hyb_protocol"	"scan_protocol"	"data_processing"	"platform_id"	"contact_name"	"contact_email"	"contact_department"	"contact_institute"	"contact_address"	"contact_city"	"contact_state"	"contact_zip/postal_code"	"contact_country"	"supplementary_file"	"data_row_count"	"tissue:ch1"
"GSM2301785"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP11"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301785/suppl/GSM2301785_7656774068_K_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301786"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP12"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301786/suppl/GSM2301786_7656774068_L_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301787"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP13"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301787/suppl/GSM2301787_7656774001_A_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301788"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP14"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301788/suppl/GSM2301788_7656774001_B_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301789"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP15"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301789/suppl/GSM2301789_7656774001_C_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301790"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP16"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301790/suppl/GSM2301790_7656774001_D_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301791"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP17"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301791/suppl/GSM2301791_7656774001_E_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301792"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP18"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301792/suppl/GSM2301792_7656774001_F_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301793"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP19"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301793/suppl/GSM2301793_7656774001_G_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301794"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP20"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301794/suppl/GSM2301794_7656774001_H_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301795"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP21"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301795/suppl/GSM2301795_7656774001_I_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301796"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP22"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301796/suppl/GSM2301796_7656774001_J_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301797"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP23"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301797/suppl/GSM2301797_7656774001_K_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301798"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP24"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301798/suppl/GSM2301798_7656774005_A_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
"GSM2301799"	"micropapillary bladder tumors"	"MDA Micropapillary bladder tumor MDA MP25"	"Public on Sep 03 2016"	"Sep 02 2016"	"Sep 03 2016"	"RNA"	"1"	"Bladder tumor tissue embeded in parffin block"	"Homo sapiens"	"tissue: micropapillary bladder tumors"	"total RNA"	"RNA was extracted with MasterPure Complete Purification Kit from Epicentre in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyzer."	"biotin"	"Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays"	"9606"	"Standard Illumina hybridization protocol"	"Standard Illumina scanning protocol"	"Quantile normalization in the Linear Model for Microarray Data (LIMMA)"	"GPL14951"	"Li,,Zhang"	"zhangli271828@gmail.com"	"Bioinformatics"	"The University of Texas MD Anderson Cancer Center"	"1400 Pressler, unit 1410"	"Houston"	"TX"	"77230"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2301nnn/GSM2301799/suppl/GSM2301799_7656774005_B_Grn.idat.gz"	"29377"	"micropapillary bladder tumors"
